timestamp,device_id,Temperature,Humidity,CO2,AirQuality
2025-06-15 11:31:10,ENV188,24.8,51.7,776.0,35.8
2025-06-15 11:46:10,ENV919,20.0,74.0,507.0,280.8
2025-06-15 12:01:10,ENV821,26.8,40.3,670.0,249.5
2025-06-15 12:16:10,ENV648,29.2,35.5,550.0,378.5
2025-06-15 12:31:10,ENV188,31.5,56.8,834.0,383.6
2025-06-15 12:46:10,ENV919,31.3,60.9,939.0,233.6
2025-06-15 13:01:10,ENV821,27.6,46.7,808.0,157.6
2025-06-15 13:16:10,ENV648,29.2,64.0,1303.0,56.6
2025-06-15 13:31:10,ENV188,25.6,70.6,361.0,424.7
2025-06-15 13:46:10,ENV919,23.3,55.4,971.0,273.0
2025-06-15 14:01:10,ENV821,27.7,68.7,796.0,88.4
2025-06-15 14:16:10,ENV648,19.4,70.6,478.0,104.6
2025-06-15 14:31:10,ENV188,20.2,47.5,488.0,87.3
2025-06-15 14:46:10,ENV919,18.7,68.7,512.0,249.6
2025-06-15 15:01:10,ENV821,27.3,79.1,576.0,324.3
2025-06-15 15:16:10,ENV648,23.3,50.9,669.0,306.2
2025-06-15 15:31:10,ENV188,22.6,54.9,832.0,395.5
2025-06-15 15:46:10,ENV919,18.7,63.5,1103.0,257.3
2025-06-15 16:01:10,ENV821,28.9,65.6,1114.0,34.9
2025-06-15 16:16:10,ENV648,18.3,47.0,644.0,390.8
2025-06-15 16:31:10,ENV188,32.8,55.6,882.0,313.7
2025-06-15 16:46:10,ENV919,24.5,66.4,1357.0,117.3
2025-06-15 17:01:10,ENV821,19.1,56.6,1474.0,276.7
2025-06-15 17:16:10,ENV648,28.2,69.0,896.0,81.1
2025-06-15 17:31:10,ENV188,19.1,81.9,627.0,240.6
2025-06-15 17:46:10,ENV919,22.2,40.6,1231.0,323.1
2025-06-15 18:01:10,ENV821,28.0,72.6,1155.0,211.6
2025-06-15 18:16:10,ENV648,24.9,81.9,1033.0,266.7
2025-06-15 18:31:10,ENV188,33.2,55.8,725.0,275.4
2025-06-15 18:46:10,ENV919,24.5,41.0,1447.0,162.4
2025-06-15 19:01:10,ENV821,25.8,56.6,1209.0,116.1
2025-06-15 19:16:10,ENV648,31.4,31.7,767.0,310.3
2025-06-15 19:31:10,ENV188,21.2,54.5,993.0,412.7
2025-06-15 19:46:10,ENV919,19.9,70.4,987.0,83.7
2025-06-15 20:01:10,ENV821,26.4,32.5,1233.0,341.6
2025-06-15 20:16:10,ENV648,33.6,74.8,463.0,171.2
2025-06-15 20:31:10,ENV188,29.1,59.3,1084.0,73.7
2025-06-15 20:46:10,ENV919,28.7,49.5,1419.0,400.2
2025-06-15 21:01:10,ENV821,19.7,63.2,895.0,76.5
2025-06-15 21:16:10,ENV648,25.9,77.2,692.0,319.6
2025-06-15 21:31:10,ENV188,29.7,33.7,966.0,304.9
2025-06-15 21:46:10,ENV919,19.6,70.2,835.0,170.1
2025-06-15 22:01:10,ENV821,22.0,68.5,1172.0,417.1
2025-06-15 22:16:10,ENV648,26.4,63.6,935.0,192.4
2025-06-15 22:31:10,ENV188,28.8,41.0,1151.0,364.0
2025-06-15 22:46:10,ENV919,27.4,76.2,409.0,371.3
2025-06-15 23:01:10,ENV821,30.9,46.8,874.0,150.2
2025-06-15 23:16:10,ENV648,22.7,54.7,1257.0,420.6
2025-06-15 23:31:10,ENV188,23.1,70.5,1035.0,67.4
2025-06-15 23:46:10,ENV919,28.2,45.9,550.0,411.1
2025-06-16 00:01:10,ENV821,30.7,72.5,444.0,337.1
2025-06-16 00:16:10,ENV648,33.8,72.9,1273.0,137.8
2025-06-16 00:31:10,ENV188,32.2,37.7,546.0,245.0
2025-06-16 00:46:10,ENV919,27.2,67.6,1465.0,271.1
2025-06-16 01:01:10,ENV821,22.0,40.3,1474.0,322.8
2025-06-16 01:16:10,ENV648,23.1,79.4,1222.0,315.5
2025-06-16 01:31:10,ENV188,19.6,70.1,1112.0,174.9
2025-06-16 01:46:10,ENV919,22.7,75.2,1022.0,59.2
2025-06-16 02:01:10,ENV821,29.1,49.0,1349.0,362.6
2025-06-16 02:16:10,ENV648,21.7,75.5,433.0,419.7
2025-06-16 02:31:10,ENV188,33.8,84.8,664.0,345.0
2025-06-16 02:46:10,ENV919,30.5,64.2,477.0,204.4
2025-06-16 03:01:10,ENV821,27.0,81.2,1041.0,209.1
2025-06-16 03:16:10,ENV648,18.6,58.7,1183.0,219.9
2025-06-16 03:31:10,ENV188,28.9,43.5,1386.0,408.9
2025-06-16 03:46:10,ENV919,24.9,35.4,475.0,184.2
2025-06-16 04:01:10,ENV821,26.5,35.3,914.0,306.1
2025-06-16 04:16:10,ENV648,28.8,41.0,1050.0,195.9
2025-06-16 04:31:10,ENV188,31.9,54.2,557.0,445.7
2025-06-16 04:46:10,ENV919,19.5,63.3,1283.0,86.6
2025-06-16 05:01:10,ENV821,19.5,80.1,388.0,262.6
2025-06-16 05:16:10,ENV648,32.7,69.3,1130.0,436.1
2025-06-16 05:31:10,ENV188,24.0,61.0,1364.0,217.0
2025-06-16 05:46:10,ENV919,33.1,59.4,1380.0,42.3
2025-06-16 06:01:10,ENV821,31.8,61.7,1486.0,421.5
2025-06-16 06:16:10,ENV648,27.0,47.5,1222.0,315.2
2025-06-16 06:31:10,ENV188,29.9,43.3,1210.0,164.3
2025-06-16 06:46:10,ENV919,25.7,40.3,1440.0,84.1
2025-06-16 07:01:10,ENV821,28.2,76.2,1069.0,55.2
2025-06-16 07:16:10,ENV648,24.3,66.5,500.0,168.1
2025-06-16 07:31:10,ENV188,20.1,31.2,1010.0,444.3
2025-06-16 07:46:10,ENV919,18.1,52.1,1103.0,304.9
2025-06-16 08:01:10,ENV821,32.8,75.4,1055.0,48.6
2025-06-16 08:16:10,ENV648,18.2,64.6,632.0,44.6
2025-06-16 08:31:10,ENV188,32.8,30.6,1149.0,170.1
2025-06-16 08:46:10,ENV919,23.0,45.3,949.0,150.5
2025-06-16 09:01:10,ENV821,18.1,56.7,1373.0,325.8
2025-06-16 09:16:10,ENV648,31.2,61.3,978.0,389.6
2025-06-16 09:31:10,ENV188,24.0,36.5,695.0,229.2
2025-06-16 09:46:10,ENV919,33.4,50.5,499.0,48.7
2025-06-16 10:01:10,ENV821,27.1,69.4,891.0,411.6
2025-06-16 10:16:10,ENV648,28.9,79.1,450.0,315.8
2025-06-16 10:31:10,ENV188,29.5,59.4,1283.0,293.8
2025-06-16 10:46:10,ENV919,34.4,37.9,1337.0,307.9
2025-06-16 11:01:10,ENV821,20.1,48.1,476.0,69.9
2025-06-16 11:16:10,ENV648,30.2,34.6,519.0,172.6
2025-06-16 11:31:10,ENV188,31.9,48.8,1348.0,381.0
2025-06-16 11:46:10,ENV919,22.6,57.9,976.0,158.3
2025-06-16 12:01:10,ENV821,21.5,31.6,1353.0,221.9
2025-06-16 12:16:10,ENV648,32.7,48.0,1152.0,241.3
